project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
temokoki/IC_Crypto_Miners_Hunt,https://github.com/temokoki/IC_Crypto_Miners_Hunt,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Eshajha19/Edu-Navia,https://github.com/Eshajha19/Edu-Navia,2,0,1,3,"The README provides a solid overview of the project’s purpose, features, problem statement, proposed solution, and tech stack, which gives readers a good sense of what the application does. However, it lacks critical documentation components required for a higher rating:",0 - no commits. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
petrakol/blockxpand-icp,https://github.com/petrakol/blockxpand-icp,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
orgs/coown-box,https://github.com/orgs/coown-box/,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Web3-Iligan/LikAI,https://github.com/Web3-Iligan/LikAI,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
hunters-code/plantify,https://github.com/hunters-code/plantify,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
ndrewantonio/encoteki-whcl-2025,https://github.com/ndrewantonio/encoteki-whcl-2025,0,0,1,1,No documentation assessment provided.,0 - no commits. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
abya-university/abya-passport,https://github.com/abya-university/abya-passport,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Sid31/vram-synth,https://github.com/Sid31/vram-synth,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
research-ag/hosty-live-fe,https://github.com/research-ag/hosty-live-fe,2,1,1,4,"The README provides a brief project description (“a minimal setup to get React working in Vite”) and a detailed guide for extending the ESLint configuration, which is useful for developers who need advanced linting. However, it lacks essential documentation elements:","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: This week a toast‑based snackbar was added to confirm URL copies, and the Custom Domain modal was substantially refactored – introducing a tabbed “configure/register” UI, richer iconography, improved domain validation, and streamlined registration/verification flows. Minor UI tweaks were also applied to the canister list, deployment modal, and related imports for consistency. Overall the changes enhance user feedback, domain management, and polish the panel’s interface.; Week of 2025-09-22: This week the Custom Domain modal was enhanced with proper domain parsing using the new **psl** library, generating and displaying the correct DNS record names (apex vs. sub‑domain) and adding a reusable **CopyButton** component for easy copying. UI tweaks were applied to the Canister page (button formatting, interactive preview toggle) and the TypeScript config was relaxed slightly, while dependencies were updated (psl, @radix-ui/react-tooltip, @supabase). Overall, the changes improve custom domain setup guidance and polish the panel’s user experience.",dfx.json file found - indicates ICP/Dfinity project structure
